"Emissiebronnen";"Emissies naar lucht";"Perioden";"Emissies naar lucht (mln kg)"
"Vervoer";"Kooldioxide (CO2)";"1990";" 30000.0"
"Vervoer";"Kooldioxide (CO2)";"1995";" 31800.0"
"Vervoer";"Kooldioxide (CO2)";"2000";" 35600.0"
"Vervoer";"Kooldioxide (CO2)";"2001";" 36100.0"
"Vervoer";"Kooldioxide (CO2)";"2002";" 36600.0"
"Vervoer";"Kooldioxide (CO2)";"2003";" 37000.0"
"Vervoer";"Kooldioxide (CO2)";"2004";" 38000.0"
"Vervoer";"Kooldioxide (CO2)";"2005";" 37200.0"
"Vervoer";"Kooldioxide (CO2)";"2006";" 37300.0"
"Vervoer";"Kooldioxide (CO2)";"2007";" 37200.0"
"Vervoer";"Kooldioxide (CO2)";"2008";" 36600.0"
"Vervoer";"Kooldioxide (CO2)";"2009";" 35500.0"
"Vervoer";"Kooldioxide (CO2)";"2010";" 35500.0"
"Vervoer";"Kooldioxide (CO2)";"2011";" 35600.0"
"Vervoer";"Kooldioxide (CO2)";"2012";" 35000.0"
"Vervoer";"Kooldioxide (CO2)";"2013";" 33900.0"
"Vervoer";"Kooldioxide (CO2)";"2014";" 34200.0"
"Vervoer";"Kooldioxide (CO2)";"2015";" 35200.0"
"Vervoer";"Kooldioxide (CO2)";"2016";" 35700.0"
"Vervoer";"Kooldioxide (CO2)";"2017";" 36000.0"
"Vervoer";"Kooldioxide (CO2)";"2018";" 36700.0"
"Vervoer";"Kooldioxide (CO2)";"2019";" 36800.0"
"Vervoer";"Kooldioxide (CO2)";"2020";" 33200.0"
"Vervoer";"Kooldioxide (CO2)";"2021";" 33900.0"
"Vervoer";"Kooldioxide (CO2)";"2022";" 34900.0"
"Vervoer";"Kooldioxide (CO2)";"2023*";" 34500.0"
"Vervoer";"Methaan (CH4)";"1990";"     7.2"
"Vervoer";"Methaan (CH4)";"1995";"     4.9"
"Vervoer";"Methaan (CH4)";"2000";"     3.5"
"Vervoer";"Methaan (CH4)";"2001";"     3.4"
"Vervoer";"Methaan (CH4)";"2002";"     3.3"
"Vervoer";"Methaan (CH4)";"2003";"     3.2"
"Vervoer";"Methaan (CH4)";"2004";"     3.1"
"Vervoer";"Methaan (CH4)";"2005";"     2.8"
"Vervoer";"Methaan (CH4)";"2006";"     2.6"
"Vervoer";"Methaan (CH4)";"2007";"     2.4"
"Vervoer";"Methaan (CH4)";"2008";"     2.2"
"Vervoer";"Methaan (CH4)";"2009";"     2.0"
"Vervoer";"Methaan (CH4)";"2010";"     2.1"
"Vervoer";"Methaan (CH4)";"2011";"     2.2"
"Vervoer";"Methaan (CH4)";"2012";"     2.3"
"Vervoer";"Methaan (CH4)";"2013";"     2.3"
"Vervoer";"Methaan (CH4)";"2014";"     2.4"
"Vervoer";"Methaan (CH4)";"2015";"     2.5"
"Vervoer";"Methaan (CH4)";"2016";"     2.6"
"Vervoer";"Methaan (CH4)";"2017";"     2.6"
"Vervoer";"Methaan (CH4)";"2018";"     3.2"
"Vervoer";"Methaan (CH4)";"2019";"     3.4"
"Vervoer";"Methaan (CH4)";"2020";"     3.4"
"Vervoer";"Methaan (CH4)";"2021";"     3.3"
"Vervoer";"Methaan (CH4)";"2022";"     3.6"
"Vervoer";"Methaan (CH4)";"2023*";"     3.5"
"Vervoer";"Distikstofoxide (N20)";"1990";"     0.5"
"Vervoer";"Distikstofoxide (N20)";"1995";"     0.9"
"Vervoer";"Distikstofoxide (N20)";"2000";"     1.1"
"Vervoer";"Distikstofoxide (N20)";"2001";"     1.0"
"Vervoer";"Distikstofoxide (N20)";"2002";"     1.0"
"Vervoer";"Distikstofoxide (N20)";"2003";"     1.0"
"Vervoer";"Distikstofoxide (N20)";"2004";"     1.0"
"Vervoer";"Distikstofoxide (N20)";"2005";"     1.0"
"Vervoer";"Distikstofoxide (N20)";"2006";"     1.1"
"Vervoer";"Distikstofoxide (N20)";"2007";"     1.1"
"Vervoer";"Distikstofoxide (N20)";"2008";"     1.2"
"Vervoer";"Distikstofoxide (N20)";"2009";"     1.2"
"Vervoer";"Distikstofoxide (N20)";"2010";"     1.2"
"Vervoer";"Distikstofoxide (N20)";"2011";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2012";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2013";"     1.2"
"Vervoer";"Distikstofoxide (N20)";"2014";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2015";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2016";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2017";"     1.4"
"Vervoer";"Distikstofoxide (N20)";"2018";"     1.4"
"Vervoer";"Distikstofoxide (N20)";"2019";"     1.4"
"Vervoer";"Distikstofoxide (N20)";"2020";"     1.3"
"Vervoer";"Distikstofoxide (N20)";"2021";"     1.4"
"Vervoer";"Distikstofoxide (N20)";"2022";"     1.4"
"Vervoer";"Distikstofoxide (N20)";"2023*";"     1.4"
"Vervoer";"Ammoniak (NH3)";"1990";"     1.0"
"Vervoer";"Ammoniak (NH3)";"1995";"     2.2"
"Vervoer";"Ammoniak (NH3)";"2000";"     4.5"
"Vervoer";"Ammoniak (NH3)";"2001";"     4.8"
"Vervoer";"Ammoniak (NH3)";"2002";"     5.1"
"Vervoer";"Ammoniak (NH3)";"2003";"     5.3"
"Vervoer";"Ammoniak (NH3)";"2004";"     5.4"
"Vervoer";"Ammoniak (NH3)";"2005";"     5.0"
"Vervoer";"Ammoniak (NH3)";"2006";"     4.7"
"Vervoer";"Ammoniak (NH3)";"2007";"     4.4"
"Vervoer";"Ammoniak (NH3)";"2008";"     4.0"
"Vervoer";"Ammoniak (NH3)";"2009";"     3.8"
"Vervoer";"Ammoniak (NH3)";"2010";"     3.7"
"Vervoer";"Ammoniak (NH3)";"2011";"     3.6"
"Vervoer";"Ammoniak (NH3)";"2012";"     3.5"
"Vervoer";"Ammoniak (NH3)";"2013";"     3.4"
"Vervoer";"Ammoniak (NH3)";"2014";"     3.5"
"Vervoer";"Ammoniak (NH3)";"2015";"     3.5"
"Vervoer";"Ammoniak (NH3)";"2016";"     3.6"
"Vervoer";"Ammoniak (NH3)";"2017";"     3.7"
"Vervoer";"Ammoniak (NH3)";"2018";"     3.7"
"Vervoer";"Ammoniak (NH3)";"2019";"     3.7"
"Vervoer";"Ammoniak (NH3)";"2020";"     3.3"
"Vervoer";"Ammoniak (NH3)";"2021";"     3.5"
"Vervoer";"Ammoniak (NH3)";"2022";"     3.6"
"Vervoer";"Ammoniak (NH3)";"2023*";"     3.7"
"Vervoer";"Stikstofoxiden (NOx)";"1990";"   380.2"
"Vervoer";"Stikstofoxiden (NOx)";"1995";"   317.5"
"Vervoer";"Stikstofoxiden (NOx)";"2000";"   302.2"
"Vervoer";"Stikstofoxiden (NOx)";"2001";"   297.6"
"Vervoer";"Stikstofoxiden (NOx)";"2002";"   293.2"
"Vervoer";"Stikstofoxiden (NOx)";"2003";"   290.4"
"Vervoer";"Stikstofoxiden (NOx)";"2004";"   292.6"
"Vervoer";"Stikstofoxiden (NOx)";"2005";"   284.4"
"Vervoer";"Stikstofoxiden (NOx)";"2006";"   284.8"
"Vervoer";"Stikstofoxiden (NOx)";"2007";"   271.5"
"Vervoer";"Stikstofoxiden (NOx)";"2008";"   251.0"
"Vervoer";"Stikstofoxiden (NOx)";"2009";"   231.5"
"Vervoer";"Stikstofoxiden (NOx)";"2010";"   228.3"
"Vervoer";"Stikstofoxiden (NOx)";"2011";"   228.6"
"Vervoer";"Stikstofoxiden (NOx)";"2012";"   217.7"
"Vervoer";"Stikstofoxiden (NOx)";"2013";"   202.8"
"Vervoer";"Stikstofoxiden (NOx)";"2014";"   206.8"
"Vervoer";"Stikstofoxiden (NOx)";"2015";"   213.5"
"Vervoer";"Stikstofoxiden (NOx)";"2016";"   213.4"
"Vervoer";"Stikstofoxiden (NOx)";"2017";"   209.4"
"Vervoer";"Stikstofoxiden (NOx)";"2018";"   211.3"
"Vervoer";"Stikstofoxiden (NOx)";"2019";"   209.3"
"Vervoer";"Stikstofoxiden (NOx)";"2020";"   191.4"
"Vervoer";"Stikstofoxiden (NOx)";"2021";"   185.5"
"Vervoer";"Stikstofoxiden (NOx)";"2022";"   185.9"
"Vervoer";"Stikstofoxiden (NOx)";"2023*";"   173.6"
"Vervoer";"Zwaveldioxide (SO2)";"1990";"    66.7"
