Geslacht;Leeftijd;Vervoerwijzen;Reismotieven;Marges;Perioden;Ritten per persoon per dag (gemiddeld) (aantal);Afgelegde afstand per rit (gemiddeld) (km);Reisduur per rit (Minuten)
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;1999*;    3.41;   10.96;   23.72
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2003*;    3.30;   11.04;   23.65
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2007*;    3.20;   11.07;   23.88
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2011*;    3.09;   11.21;   23.76
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2015*;    3.03;   11.36;   24.14
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2019*;    2.97;   11.64;   24.18
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2020*;    2.48;    9.67;   24.46
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2021*;    2.62;   10.00;   26.03
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2022*;    2.86;   10.22;   24.88
Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Waarde;2023*;    2.93;   10.59;   24.63
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;1999*;    0.59;   14.78;   24.83
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2003*;    0.58;   14.93;   24.72
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2007*;    0.61;   15.49;   25.15
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2011*;    0.62;   15.53;   24.82
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2015*;    0.61;   15.97;   24.78
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2019*;    0.61;   16.13;   24.83
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2020*;    0.41;   14.64;   23.17
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2021*;    0.41;   15.18;   23.86
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2022*;    0.48;   15.59;   24.55
Totaal mannen en vrouwen;Totaal;Totaal;Van en naar het werk;Waarde;2023*;    0.51;   15.74;   25.03
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;1999*;    0.73;    4.96;   14.97
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2003*;    0.70;    5.10;   14.71
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2007*;    0.65;    5.18;   14.60
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2011*;    0.61;    5.17;   14.45
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2015*;    0.61;    5.14;   14.48
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2019*;    0.57;    5.36;   14.35
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2020*;    0.57;    4.33;   12.66
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2021*;    0.57;    4.43;   13.27
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2022*;    0.60;    4.70;   13.61
Totaal mannen en vrouwen;Totaal;Totaal;Winkelen, boodschappen doen;Waarde;2023*;    0.60;    5.01;   14.10
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;1999*;    0.30;    6.85;   17.64
Totaal mannen en vrouwen;Totaal;Totaal;Onderwijs volgen, cursus, kinderopvang;Waarde;2003*;    0.29;    7.01;   17.86
