"Geslacht";"Thuiswerker";"Positie werkkring";"Persoonskenmerken";"Perioden";"Werkzame beroepsbevolking (x 1 000)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2013";"    8266"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2014";"    8214"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2015";"    8294"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2016";"    8403"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2017";"    8579"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2018";"    8774"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2019";"    8953"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal personen";"2020";"    8951"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2013";"    4027"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2014";"    3992"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2015";"    4041"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2016";"    4090"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2017";"    4159"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2018";"    4290"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2019";"    4395"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: deeltijd";"2020";"    4466"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2013";"     970"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2014";"     975"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2015";"     986"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2016";"     946"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2017";"     946"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2018";"     940"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2019";"     945"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 12 uur per week";"2020";"     975"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2013";"    1658"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Arbeidsduur: minder dan 20 uur per week";"2014";"    1640"
