"Geslacht";"Positie in de werkkring";"Persoonskenmerken";"Thuiswerken";"Perioden";"Werkzame beroepsbevolking (x 1 000)"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Totaal";"2021";"    9255"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Totaal";"2022";"    9548"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Totaal";"2023";"    9737"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal of soms thuiswerken";"2021";"    4996"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal of soms thuiswerken";"2022";"    5069"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal of soms thuiswerken";"2023";"    5059"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal thuiswerken";"2021";"    1915"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal thuiswerken";"2022";"    1531"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Meestal thuiswerken";"2023";"    1282"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Soms thuiswerken";"2021";"    3081"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Soms thuiswerken";"2022";"    3538"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Soms thuiswerken";"2023";"    3776"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Niet thuiswerken";"2021";"    4259"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Niet thuiswerken";"2022";"    4479"
"Totaal mannen en vrouwen";"Totaal";"Totaal personen";"Niet thuiswerken";"2023";"    4678"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Totaal";"2021";"    1520"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Totaal";"2022";"    1621"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Totaal";"2023";"    1659"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal of soms thuiswerken";"2021";"     310"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal of soms thuiswerken";"2022";"     315"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal of soms thuiswerken";"2023";"     302"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal thuiswerken";"2021";"     139"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal thuiswerken";"2022";"      96"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Meestal thuiswerken";"2023";"      82"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Soms thuiswerken";"2021";"     171"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Soms thuiswerken";"2022";"     218"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Soms thuiswerken";"2023";"     220"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Niet thuiswerken";"2021";"    1210"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Niet thuiswerken";"2022";"    1307"
"Totaal mannen en vrouwen";"Totaal";"Leeftijd: 15 tot 25 jaar";"Niet thuiswerken";"2023";"    1357"
